,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,Card Type_DIAMOND,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Risk Score,Loyalty Score,Exited
0,0.5379999999999999,0.1891891891891892,0.4,0.6991130542285118,0.3333333333333333,1.0,1.0,0.8640273219016125,1.0,0.0,0.6499402628434886,0,0,1,1,0,1,0,0,0,0.34353428675155856,0.68,1
1,0.586,0.21621621621621623,0.7000000000000001,0.6394072987960969,0.0,0.0,1.0,0.9427777083196688,0.0,0.5,0.7682198327359617,0,1,0,1,0,0,1,0,0,0.0170058867816515,0.64,0
2,0.42200000000000004,0.2027027027027027,0.6000000000000001,0.0,0.3333333333333333,0.0,0.0,0.868469772489756,0.0,0.5,0.06810035842293904,1,0,0,0,1,1,0,0,0,0.3283194722450277,0.22000000000000003,0
3,0.5359999999999999,0.3108108108108108,0.8,0.15027133128036171,0.0,1.0,1.0,0.9790111770187683,0.0,1.0,0.5400238948626045,0,1,0,0,1,0,1,0,0,0.01633521022250973,0.66,0
4,0.7279999999999999,0.25675675675675674,0.9,0.5917419698173071,0.3333333333333333,0.0,1.0,0.7564057594964034,0.0,0.5,0.9235364396654718,1,0,0,0,1,0,0,0,1,0.34384563811179836,0.78,0
5,0.82,0.3108108108108108,0.6000000000000001,0.0,0.3333333333333333,0.0,0.0,0.507308485607938,0.0,0.75,0.8482676224611708,0,0,1,1,0,0,0,0,1,0.32937870968740984,0.22000000000000003,0
6,0.84,0.25675675675675674,0.5,0.5641623656840115,0.3333333333333333,0.0,1.0,0.9017218123193202,0.0,0.25,0.8685782556750298,0,1,0,0,1,1,0,0,0,0.3437555636179875,0.7000000000000001,0
7,0.374,0.3108108108108108,0.30000000000000004,0.5512450891913925,0.0,1.0,0.0,0.5336754174378142,0.0,1.0,0.7216248506571087,0,1,0,1,0,1,0,0,0,0.00458085488798889,0.06000000000000001,0
8,0.4939999999999999,0.10810810810810811,0.7000000000000001,0.0,0.3333333333333333,1.0,0.0,0.5511444903601733,0.0,0.75,0.08602150537634407,0,0,1,1,0,0,0,0,1,0.32739263948294334,0.24,0
9,0.7199999999999999,0.24324324324324326,0.4,0.4626781335800524,0.0,1.0,0.0,0.29273235876185527,0.0,0.0,0.17084826762246114,1,0,0,1,0,1,0,0,0,0.003629573393580966,0.08000000000000002,0
10,0.7079999999999999,0.35135135135135137,0.9,0.6124273405190133,0.0,1.0,0.0,0.7937372833501107,0.0,1.0,0.8685782556750298,0,0,1,1,0,0,0,1,0,0.00517788906741316,0.18000000000000005,0
11,0.9440000000000001,0.27027027027027034,0.6000000000000001,0.5113219474887195,0.6666666666666667,1.0,0.0,0.045326494052676525,1.0,0.5,0.7598566308243727,1,0,0,0,1,1,0,0,0,0.657249675382673,0.32000000000000006,1
12,0.386,0.1756756756756757,0.2,0.5885826392699921,0.0,1.0,1.0,0.08289290805359018,0.0,0.5,0.9820788530465948,1,0,0,1,0,1,0,0,0,0.016442680311795216,0.54,0
13,0.9580000000000001,0.25675675675675674,0.30000000000000004,0.41234973131919817,0.0,0.0,0.0,0.005123306821014758,0.0,0.5,0.14814814814814814,0,1,0,1,0,0,0,1,0,0.0035976064122680024,0.06000000000000001,0
14,0.5219999999999999,0.2972972972972973,0.8,0.401805888598036,0.3333333333333333,1.0,0.0,0.7367806001450764,0.0,0.25,0.9127837514934288,1,0,0,1,0,1,0,0,0,0.3305585958525778,0.26,0
15,0.7859999999999999,0.2972972972972973,0.6000000000000001,0.0,0.0,1.0,0.0,0.1410378002034914,1.0,0.25,0.6941457586618877,1,0,0,1,0,0,0,1,0,0.002648093605955325,0.12000000000000002,1
16,0.838,0.27027027027027034,0.2,0.0,0.3333333333333333,0.0,0.0,0.37766833581256254,0.0,1.0,0.7956989247311828,1,0,0,1,0,0,0,0,1,0.3289814956465165,0.14,0
17,0.7079999999999999,0.27027027027027034,0.6000000000000001,0.4252234841644271,0.0,1.0,0.0,0.8689506093810871,0.0,0.75,0.4575866188769414,0,0,1,0,1,0,1,0,0,0.003772056539098493,0.12000000000000002,0
18,0.7299999999999999,0.21621621621621623,0.4,0.49547786513639863,0.0,0.0,0.0,0.4887558661875608,0.0,0.25,0.8494623655913979,1,0,0,0,1,0,0,0,1,0.003471887369592841,0.08000000000000002,0
19,0.584,0.3108108108108108,0.4,0.6288512598880287,0.0,1.0,0.0,0.3371738247625446,0.0,1.0,0.6654719235364396,0,1,0,0,1,1,0,0,0,0.004834315253421033,0.08000000000000002,0
20,0.816,0.39189189189189194,0.9,0.38072493895828385,0.0,1.0,0.0,0.3662405674345598,0.0,0.0,0.7729988052568697,0,1,0,1,0,1,0,0,0,0.00481836720903559,0.18000000000000005,0
21,0.42400000000000004,0.27027027027027034,0.5,0.0,0.0,1.0,0.0,0.5783957498241326,0.0,0.75,0.7777777777777777,1,0,0,0,1,0,0,1,0,0.002383284245359793,0.1,0
22,0.58,0.14864864864864863,0.4,0.0,0.3333333333333333,1.0,0.0,0.2242047217472305,0.0,0.5,0.7108721624850657,1,0,0,1,0,0,1,0,0,0.3277898535238366,0.18,0
23,0.32599999999999996,0.4189189189189189,0.5,0.6839480922313916,0.0,1.0,0.0,0.6310453632159627,0.0,0.5,0.8136200716845877,0,1,0,1,0,0,0,1,0,0.00607349796477528,0.1,0
24,0.2739999999999999,0.2027027027027027,0.8,0.5808322813457847,0.0,1.0,0.0,0.2065021094836234,0.0,0.25,0.6117084826762246,0,0,1,0,1,1,0,0,0,0.0036182486859868282,0.16000000000000003,0
25,0.6980000000000001,0.21621621621621623,0.2,0.46819276304574503,0.0,1.0,0.0,0.9262393907324805,0.0,1.0,0.7909199522102748,1,0,0,0,1,0,1,0,0,0.0033827747141857867,0.04000000000000001,0
26,0.41600000000000004,0.5405405405405406,0.2,0.5681078720049244,0.0,1.0,1.0,0.4437735775050184,0.0,0.5,0.3870967741935484,0,1,0,0,1,1,0,0,0,0.019950736456158642,0.54,0
27,0.856,0.08108108108108109,0.4,0.0,0.3333333333333333,1.0,1.0,0.8140813716503952,0.0,0.5,0.9342891278375148,1,0,0,0,1,1,0,0,0,0.34019175857839407,0.68,0
28,0.33199999999999996,0.22972972972972977,1.0,0.22865702166166355,0.0,1.0,1.0,0.5083518081063066,0.0,1.0,0.7264038231780167,1,0,0,0,1,0,0,1,0,0.01579678840350291,0.7000000000000001,0
29,0.848,0.22972972972972977,0.30000000000000004,0.4839360076435815,0.0,1.0,1.0,0.1216240669995753,0.0,0.75,0.9772998805256868,1,0,0,1,0,1,0,0,0,0.016630525005802865,0.56,0
30,0.372,0.22972972972972977,0.8,0.0,0.3333333333333333,1.0,0.0,0.3239093104901039,0.0,0.25,0.21744324970131418,1,0,0,0,1,0,1,0,0,0.32858428160562325,0.26,0
