CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Risk_Score,Loyalty Score
15634602,0.5379999999999999,France,Female,0.3243243243243243,0.2,0.0,0.0,1.0,1.0,0.5067348931822989,1.0,1.0,0.25,DIAMOND,0.39160045402951194,49.72972972972973,54.0
15647311,0.5159999999999999,Spain,Female,0.3108108108108108,0.1,0.334031478677259,0.0,0.0,1.0,0.5627087386845444,0.0,1.0,0.5,DIAMOND,0.38251986379114644,52.66463911109691,52.0
15619304,0.30399999999999994,France,Female,0.3243243243243243,0.8,0.6363571759354565,0.6666666666666667,1.0,0.0,0.5696543519906151,1.0,1.0,0.5,DIAMOND,0.2928490351872872,29.42663482241763,36.00000000000001
15701354,0.6980000000000001,France,Female,0.2837837837837838,0.1,0.0,0.3333333333333333,0.0,0.0,0.46912005096486714,0.0,0.0,1.0,GOLD,0.2622020431328036,15.18018018018018,12.0
15737888,0.9999999999999999,Spain,Female,0.3378378378378379,0.2,0.5002462155052676,0.0,1.0,1.0,0.3954003607344502,0.0,0.0,1.0,GOLD,0.3473325766174802,55.13759729018781,54.0
15574012,0.59,Spain,Male,0.35135135135135137,0.8,0.45339436422174445,0.3333333333333333,1.0,0.0,0.7487971601287922,1.0,1.0,1.0,DIAMOND,0.41430192962542567,21.74115084942465,26.0
15592531,0.9440000000000001,France,Male,0.4324324324324324,0.7000000000000001,0.0,0.3333333333333333,1.0,1.0,0.050260899915941966,0.0,0.0,0.25,SILVER,0.09875141884222474,59.63963963963964,74.0
15656148,0.051999999999999935,Germany,Female,0.14864864864864863,0.4,0.4585397202505608,1.0,1.0,0.0,0.5967334880481086,1.0,1.0,0.25,DIAMOND,0.18501702610669693,29.044856661965067,38.0
15792365,0.30199999999999994,France,Male,0.35135135135135137,0.4,0.5661703921301275,0.3333333333333333,0.0,1.0,0.37468038197647874,0.0,0.0,0.5,GOLD,0.14982973893303062,62.868911128508486,68.0
15592389,0.668,France,Male,0.12162162162162166,0.2,0.5364882610306042,0.0,1.0,1.0,0.3586049967771922,0.0,0.0,0.5,GOLD,0.2531214528944381,49.01353125895469,54.0
15767821,0.356,France,Male,0.1756756756756757,0.6000000000000001,0.4066062041365082,0.3333333333333333,0.0,0.0,0.40088598461153035,0.0,0.0,0.5,GOLD,0.16458569807037457,16.002998978302017,22.000000000000004
15737173,0.29399999999999993,Spain,Male,0.08108108108108109,0.30000000000000004,0.0,0.3333333333333333,1.0,0.0,0.3819286241836095,0.0,0.0,0.5,GOLD,0.1475595913734393,9.0990990990991,16.0
